Food_name,Energy(kcal)_per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Cholesterol per 100 mg,Sodium(mg) per 100 g,Carbohydrate(g) per 100 g,fibre(g) per 100 g,total sugar(g) per 100 g,Protein(g) per 100 g
Hamburger,250,9,3.5,0.5,25,520,31,2,6,12
Cheeseburger,300,12,6,0.5,40,750,33,2,6,15
Double Cheeseburger,440,23,11,1.5,80,1150,34,2,7,25
McDouble,390,19,8,1,65,920,33,2,7,22
 Quarter Pounder® with Cheese,510,26,12,1.5,90,1190,40,3,9,29
Double Quarter Pounder® with Cheese,740,42,19,2.5,155,1380,40,3,9,48
Big Mac®,540,29,10,1.5,75,1040,45,3,9,25
Big N’ Tasty®,460,24,8,1.5,70,720,37,3,8,24
Big N’ Tasty® with Cheese,510,28,11,1.5,85,960,38,3,8,27
Angus Bacon & Cheese,790,39,17,2,145,2070,63,4,13,45
Angus Deluxe,750,39,16,2,135,1700,61,4,10,40
Angus Mushroom & Swiss,770,40,17,2,135,1170,59,4,8,44
Filet-O-Fish®,380,18,3.5,0,40,640,38,2,5,15
McChicken ®,360,16,3,0,35,830,40,2,5,14
McRib ®,500,26,10,0,70,980,44,3,11,22
Premium Grilled Chicken Classic Sandwich,360,9,2,0,65,820,41,4,8,27
Premium Crispy Chicken Classic Sandwich,510,22,3.5,0,45,990,56,3,10,24
Premium Grilled Chicken Club Sandwich,460,17,6,0,90,1040,43,4,9,35
Premium Crispy Chicken Club Sandwich,620,29,7,0,70,1200,57,3,11,31
Premium Grilled Chicken Ranch BLT Sandwich,380,10,3,0,75,1000,41,4,9,31
Premium Crispy Chicken Ranch BLT Sandwich,540,23,4.5,0,55,1160,56,3,11,27
Southern Style Crispy Chicken Sandwich,400,17,3,0,45,1030,39,1,6,24
Ranch Snack Wrap® (Crispy),340,17,4.5,0,30,810,33,1,2,14
Ranch Snack Wrap® (Grilled),270,10,4,0,45,830,26,1,2,18
Honey Mustard Snack Wrap® (Crispy),330,16,4.5,0,30,780,34,1,4,14
Honey Mustard Snack Wrap® (Grilled),260,9,3.5,0,45,800,27,1,4,18
Chipotle BBQ Snack Wrap® (Crispy),330,15,4.5,0,30,810,35,1,4,14
Chipotle BBQ Snack Wrap® (Grilled),260,9,3.5,0,45,830,28,1,5,18
Angus Bacon & Cheese Snack Wrap,390,21,9,1,75,1080,28,1,4,21
Angus Chipotle BBQ Bacon,800,39,18,2,145,2020,66,4,16,45
Angus Chipotle BBQ Bacon Snack Wrap,400,22,10,1,75,1060,30,1,6,21
Angus Deluxe Snack Wrap,410,25,10,1.5,75,990,27,2,3,20
Angus Mushroom & Swiss Snack Wrap,430,26,10,1.5,75,730,27,2,2,22
Mac Snack Wrap,330,19,7,1,45,690,26,1,3,15
Small French Fries,230,11,1.5,0,0,160,29,3,0,3
Medium French Fries,380,19,2.5,0,0,270,48,5,0,4
Large French Fries,500,25,3.5,0,0,350,63,6,0,6
Ketchup Packet,15,0,0,0,0,110,3,0,2,0
Salt Packet,0,0,0,0,0,270,0,0,0,0
Chicken McNuggets® (4 piece),190,12,2,0,25,360,12,1,0,9
Chicken McNuggets® (6 piece),280,18,3,0,40,540,18,1,0,13
Chicken McNuggets® (10 piece),470,30,5,0,65,900,30,2,0,22
Barbeque Sauce,50,0,0,0,0,260,12,0,10,0
Honey,50,0,0,0,0,0,12,0,11,0
Hot Mustard Sauce,60,2.5,0,0,5,250,9,2,6,1
Sweet ‘N Sour Sauce,50,0,0,0,0,150,12,0,10,0
Chicken Selects® Premium Breast Strips (3 pc),400,24,3.5,0,50,1010,23,0,0,23
Chicken Selects® Premium Breast Strips (5 pc),660,40,6,0,85,1680,39,0,0,38
Spicy Buffalo Sauce,60,6,1,0,0,800,1,1,0,0
Creamy Ranch Sauce,170,18,3,0,10,270,2,0,1,0
Tangy Honey Mustard Sauce,60,2,0,0,5,140,10,0,8,0
Southwestern Chipotle Barbeque Sauce,60,0,0,0,0,210,15,1,11,0
Premium Southwest Salad with Grilled Chicken,320,9,3,0,70,960,30,6,11,30
Premium Southwest Salad with Crispy Chicken,430,20,4,0,55,920,38,6,12,26
Premium Southwest Salad (without chicken),140,4.5,2,0,10,150,20,6,6,6
Premium Bacon Ranch Salad with Grilled Chicken,260,9,4,0,90,1010,12,3,5,33
Premium Bacon Ranch Salad with Crispy Chicken,370,20,6,0,75,970,20,3,6,29
Premium Bacon Ranch Salad (without chicken),140,7,3.5,0,25,300,10,3,4,9
Premium Caesar Salad with Grilled Chicken,220,6,3,0,75,890,12,3,5,30
Premium Caesar Salad with Crispy Chicken,330,17,4.5,0,60,840,20,3,6,26
Premium Caesar Salad (without chicken),90,4,2.5,0,10,180,9,3,4,7
Side Salad,20,0,0,0,0,10,4,1,2,1
Butter Garlic Croutons,60,1.5,0,0,0,140,10,1,0,2
Snack Size Fruit & Walnut Salad,210,8,1.5,0,5,60,31,2,25,4
Salad Dressings,,,,,,,,,,
