Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg,Health_Label_High_Cholesterol,Health_Label_High_sugar,Health_Label_for_normal_person
717,0.85,0.06,0.06,0,0,81.11,51.368,0,643,0.02,215,1,0,1
718,0.49,2.87,0.06,0,0,78.3,45.39,0,583,0.05,225,1,0,1
876,0.28,0,0,0,0,99.48,61.924,0,2,0,256,1,0,1
353,21.4,2.34,0.5,0,0,28.74,18.669,0,1146,0.31,75,1,0,1
371,23.24,2.79,0.51,0,0,29.68,18.764,0,560,0.43,94,1,0,1
334,20.75,0.45,0.45,0,0,27.68,17.41,0,629,0.5,100,1,0,1
300,19.8,0.46,0.46,0,0,24.26,15.259,0,842,0.33,72,1,0,1
404,22.87,3.09,0.48,0,0,33.31,18.867,0,653,0.14,99,1,1,1
394,23.76,2.57,0.52,0,0,32.11,20.218,0,604,0.76,95,1,0,1
98,11.12,3.38,2.67,0,0,4.3,1.718,0,364,0.07,17,1,0,1
97,10.69,4.61,2.38,0,0.2,3.85,2.311,0,344,0.16,13,1,0,1
72,10.34,6.66,1.85,0,0,0.29,0.169,0,372,0.15,7,1,0,1
81,10.45,4.76,4,0,0,2.27,1.235,0,308,0.13,12,1,0,1
72,12.39,2.72,2.72,0,0,1.02,0.645,0,406,0.14,4,1,0,1
350,6.15,5.52,3.76,0,0,34.44,20.213,0,314,0.11,101,1,0,1
357,24.99,1.43,1.43,0,0,27.8,17.572,0,812,0.44,89,1,0,1
264,14.21,4.09,4.09,0,0,21.28,14.946,0,917,0.65,89,1,0,1
389,25.6,1.55,1.55,0,0,31.14,19.196,0,800,0.23,116,1,0,1
356,24.94,2.22,2.22,0,0,27.44,17.614,0,819,0.24,114,1,0,1
413,29.81,0.36,0.36,0,0,32.34,18.913,0,714,0.17,110,1,1,1
327,20.05,0.49,0.49,0,0,27.25,16.746,0,800,0.13,90,1,0,1
373,24.48,0.68,0.5,0,0,30.28,19.066,0,600,0.72,89,1,0,1
300,22.17,2.19,1.03,0,0,22.35,13.152,0,627,0.44,79,1,0,1
318,21.6,2.47,1.01,0,0,24.64,15.561,0,710,0.2,89,1,0,1
254,24.26,2.77,1.13,0,0,15.92,10.114,0,619,0.22,64,1,0,1
