,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
0,Hamburger,250.0,12.0,31.0,6.0,0.0,2.0,9.0,3.5,0.5,520.0,0.0,25.0
1,Cheeseburger,300.0,15.0,33.0,6.0,0.0,2.0,12.0,6.0,0.5,750.0,0.0,40.0
2,Double Cheeseburger,440.0,25.0,34.0,7.0,0.0,2.0,23.0,11.0,1.5,1150.0,0.0,80.0
3,McDouble,390.0,22.0,33.0,7.0,0.0,2.0,19.0,8.0,1.0,920.0,0.0,65.0
4, Quarter PounderÂ® with Cheese,510.0,29.0,40.0,9.0,0.0,3.0,26.0,12.0,1.5,1190.0,0.0,90.0
5,Double Quarter PounderÂ® with Cheese,740.0,48.0,40.0,9.0,0.0,3.0,42.0,19.0,2.5,1380.0,0.0,155.0
6,Big MacÂ®,540.0,25.0,45.0,9.0,0.0,3.0,29.0,10.0,1.5,1040.0,0.0,75.0
7,Big Nâ TastyÂ®,460.0,24.0,37.0,8.0,0.0,3.0,24.0,8.0,1.5,720.0,0.0,70.0
8,Big Nâ TastyÂ® with Cheese,510.0,27.0,38.0,8.0,0.0,3.0,28.0,11.0,1.5,960.0,0.0,85.0
9,Angus Bacon & Cheese,790.0,45.0,63.0,13.0,0.0,4.0,39.0,17.0,2.0,2070.0,0.0,145.0
10,Angus Deluxe,750.0,40.0,61.0,10.0,0.0,4.0,39.0,16.0,2.0,1700.0,0.0,135.0
11,Angus Mushroom & Swiss,770.0,44.0,59.0,8.0,0.0,4.0,40.0,17.0,2.0,1170.0,0.0,135.0
12,Filet-O-FishÂ®,380.0,15.0,38.0,5.0,0.0,2.0,18.0,3.5,0.0,640.0,0.0,40.0
13,McChicken Â®,360.0,14.0,40.0,5.0,0.0,2.0,16.0,3.0,0.0,830.0,0.0,35.0
14,McRib Â®,500.0,22.0,44.0,11.0,0.0,3.0,26.0,10.0,0.0,980.0,0.0,70.0
15,Premium Grilled Chicken Classic Sandwich,360.0,27.0,41.0,8.0,0.0,4.0,9.0,2.0,0.0,820.0,0.0,65.0
16,Premium Crispy Chicken Classic Sandwich,510.0,24.0,56.0,10.0,0.0,3.0,22.0,3.5,0.0,990.0,0.0,45.0
17,Premium Grilled Chicken Club Sandwich,460.0,35.0,43.0,9.0,0.0,4.0,17.0,6.0,0.0,1040.0,0.0,90.0
18,Premium Crispy Chicken Club Sandwich,620.0,31.0,57.0,11.0,0.0,3.0,29.0,7.0,0.0,1200.0,0.0,70.0
19,Premium Grilled Chicken Ranch BLT Sandwich,380.0,31.0,41.0,9.0,0.0,4.0,10.0,3.0,0.0,1000.0,0.0,75.0
20,Premium Crispy Chicken Ranch BLT Sandwich,540.0,27.0,56.0,11.0,0.0,3.0,23.0,4.5,0.0,1160.0,0.0,55.0
21,Southern Style Crispy Chicken Sandwich,400.0,24.0,39.0,6.0,0.0,1.0,17.0,3.0,0.0,1030.0,0.0,45.0
22,Ranch Snack WrapÂ® (Crispy),340.0,14.0,33.0,2.0,0.0,1.0,17.0,4.5,0.0,810.0,0.0,30.0
23,Ranch Snack WrapÂ® (Grilled),270.0,18.0,26.0,2.0,0.0,1.0,10.0,4.0,0.0,830.0,0.0,45.0
24,Honey Mustard Snack WrapÂ® (Crispy),330.0,14.0,34.0,4.0,0.0,1.0,16.0,4.5,0.0,780.0,0.0,30.0
25,Honey Mustard Snack WrapÂ® (Grilled),260.0,18.0,27.0,4.0,0.0,1.0,9.0,3.5,0.0,800.0,0.0,45.0
26,Chipotle BBQ Snack WrapÂ® (Crispy),330.0,14.0,35.0,4.0,0.0,1.0,15.0,4.5,0.0,810.0,0.0,30.0
27,Chipotle BBQ Snack WrapÂ® (Grilled),260.0,18.0,28.0,5.0,0.0,1.0,9.0,3.5,0.0,830.0,0.0,45.0
28,Angus Bacon & Cheese Snack Wrap,390.0,21.0,28.0,4.0,0.0,1.0,21.0,9.0,1.0,1080.0,0.0,75.0
29,Angus Chipotle BBQ Bacon,800.0,45.0,66.0,16.0,0.0,4.0,39.0,18.0,2.0,2020.0,0.0,145.0
30,Angus Chipotle BBQ Bacon Snack Wrap,400.0,21.0,30.0,6.0,0.0,1.0,22.0,10.0,1.0,1060.0,0.0,75.0
31,Angus Deluxe Snack Wrap,410.0,20.0,27.0,3.0,0.0,2.0,25.0,10.0,1.5,990.0,0.0,75.0
32,Angus Mushroom & Swiss Snack Wrap,430.0,22.0,27.0,2.0,0.0,2.0,26.0,10.0,1.5,730.0,0.0,75.0
33,Mac Snack Wrap,330.0,15.0,26.0,3.0,0.0,1.0,19.0,7.0,1.0,690.0,0.0,45.0
34,Small French Fries,230.0,3.0,29.0,0.0,0.0,3.0,11.0,1.5,0.0,160.0,0.0,0.0
35,Medium French Fries,380.0,4.0,48.0,0.0,0.0,5.0,19.0,2.5,0.0,270.0,0.0,0.0
36,Large French Fries,500.0,6.0,63.0,0.0,0.0,6.0,25.0,3.5,0.0,350.0,0.0,0.0
37,Ketchup Packet,15.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0
38,Salt Packet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0
39,Chicken McNuggetsÂ® (4 piece),190.0,9.0,12.0,0.0,0.0,1.0,12.0,2.0,0.0,360.0,0.0,25.0
