,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
0,MAGGI,379.0,8.0,57.7,2.1,1.1,2.8,13.5,7.9,0.12,1137.1,7.7,0.0
1,Lays_American Style Cream & Onion Flavour,537.0,6.7,53.0,3.4,2.0,0.0,33.1,12.5,0.1,643.0,0.0,0.0
2,Lay's Chile Limon Potato Chips,556.0,7.3,49.4,3.4,0.0,0.0,36.6,14.5,0.1,999.0,0.0,0.0
3,Lay's Potato Chips - India's Magic Masala Pouch,547.0,8.9,47.6,4.1,0.0,0.0,35.7,14.1,0.1,942.0,0.0,0.0
4,Pringles Sour Cream & Onion Flavour,541.0,5.0,57.6,3.2,0.0,0.0,30.9,15.0,0.3,642.0,0.0,0.0
5,Cadbury Oreo Vanilla Flavour Crème Sandwich Biscuit,483.0,5.2,71.9,38.8,38.7,0.0,19.6,9.7,0.1,420.0,0.0,0.0
6,Kellogg's Chocos,386.0,9.0,83.66,30.0,0.0,5.0,3.0,1.33,0.0,0.333,5.0,0.0
7,Doritos Nacho Cheese Tortilla Chips,499.0,7.1,65.1,4.5,0.0,0.0,23.4,9.0,0.1,605.0,0.0,0.0
8,Parle Marie Biscuit UNIQUE,451.0,7.4,77.4,22.0,0.0,0.0,12.4,5.8,0.0,0.0,0.0,0.0
9,Cadbury Chocobakes ChocFilled Cookies,501.0,5.1,66.2,39.7,37.8,0.0,24.5,11.6,0.1,195.0,0.0,1.0
10,Sunfeast Dark Fantasy Choco Fills,513.0,5.3,64.2,34.4,31.7,0.0,26.5,12.9,0.1,166.5,0.0,0.3
11,Britannia The Original Bourbon ,493.7,5.0,72.7,38.3,35.1,0.0,20.3,10.1,0.0,119.0,0.0,0.0
12,Kellogg's Corn Flakes Real Almond Honey,410.0,6.4,82.0,25.0,0.0,1.66,6.6,4.0,0.0,0.44,7.0,0.0
13,Cadbury Dairy Milk Chocolate,532.0,7.8,60.4,57.0,47.4,0.0,29.2,19.6,0.1,129.0,0.0,20.7
14, Kurkure Namkeen - Masala Munch,558.0,6.4,55.2,1.0,0.0,0.0,34.6,16.0,0.1,892.0,0.0,0.0
15,Parle Happy Choco Chip Happy Cookies,489.0,5.8,71.3,30.4,0.0,0.0,20.1,10.6,0.0,0.0,0.0,0.0
16,PAZZTA Maggi Pazzta Masala Penne Pasta,279.0,8.9,58.0,6.9,3.1,3.5,2.0,1.5,0.01,803.0,0.0,2.0
17,Bingo! Tedhe Medhe Masala Tadka,546.0,5.5,51.3,1.1,1.2,0.0,32.8,15.5,0.1,738.4,0.0,0.0
18,Bingo! Mad Angles Achaari Masti ,526.0,5.6,61.2,6.0,5.2,0.0,29.5,13.8,0.1,758.8,0.0,0.0
19,Bingo! Original Style Cream & Onion,532.0,7.3,55.1,2.3,1.1,0.0,32.4,15.0,0.1,820.0,0.0,1.0
20,Britannia Gobbles Bar Cake Fruity Fun,405.0,5.0,58.0,26.5,0.0,0.0,17.0,8.0,0.0,0.0,0.0,65.0
21,Britannia Little Hearts,486.0,7.4,70.0,24.4,23.0,0.0,19.5,9.4,0.0,311.0,0.0,0.0
22,Britannia Gobbles Cake Marble Cake Choco Vanilla,414.0,6.3,58.5,28.6,28.5,0.0,17.2,8.9,0.0,184.0,0.0,82.0
23,Too Yumm! - Karare - Noodle Masala,487.0,6.2,69.0,3.7,2.5,3.7,20.6,9.4,0.04,720.0,0.0,0.0
24,Too Yumm! Veggie Stix,476.0,6.3,71.0,7.1,2.1,2.9,18.5,9.2,0.19,770.0,0.0,0.0
25,Too Yumm! Multigrain Chips ,483.0,8.1,67.0,9.2,8.7,4.9,19.8,9.1,0.1,970.0,0.0,0.0
26,Too Yumm! Potato Chips ,554.0,6.1,55.0,0.9,0.0,3.5,34.0,7.7,0.2,670.0,0.0,0.0
27,Too Yumm! Veggie Stix,471.0,6.1,73.0,5.2,4.2,1.9,17.3,7.4,0.05,970.0,0.0,0.0
28,Too Yumm! Bhoot Chips ,523.0,7.6,56.0,3.2,3.2,6.1,30.0,8.5,0.0,425.0,0.0,0.0
29,Too Yumm - Wafers Spicy Chilli,559.0,6.4,55.0,4.8,3.6,2.3,35.0,8.0,0.2,610.0,0.0,0.0
30,Too Yumm! Namkeen - Bikaneri Bhujia,600.0,12.4,40.0,0.0,0.0,1.6,43.2,11.3,0.2,750.0,0.0,0.0
31,Too Yumm! Namkeen - Salted Peanuts,637.0,27.1,18.0,2.3,0.0,7.2,50.5,7.6,0.2,360.0,0.0,0.0
32,Too Yumm! Namkeen - Moong Dal,469.0,21.7,56.0,2.0,0.0,12.0,17.8,4.5,0.1,400.0,0.0,0.0
33,"Too Yumm! Namkeen - All In One,",558.0,13.7,47.0,10.2,6.8,7.5,35.0,8.3,0.1,830.0,0.0,0.0
34,Nutraj Premium Raw California Almonds,597.19,19.33,21.72,5.41,0.0,0.0,48.11,9.62,0.0,2.5,0.0,0.0
35,Britannia Treat Jim Jam Biscuits,483.0,5.0,73.0,33.5,31.8,0.0,19.0,9.5,0.0,214.0,0.0,0.0
36,UNIBIC Fruit & Nut Cookies,458.0,6.4,63.0,25.0,21.5,0.0,20.0,9.0,0.0,209.0,0.0,0.0
37,UNIBIC FOODS Cashew Badam Cookies,487.0,5.5,66.0,26.0,24.3,0.0,22.3,10.0,0.0,195.0,0.0,0.0
38,Unibic Foods Choco Chip Cookies,480.0,5.8,68.0,29.0,0.0,0.0,20.5,12.8,0.0,0.0,0.0,0.0
39,UNIBIC Foods Cookies-Choco Nut Cookies,497.0,6.8,64.0,28.0,0.0,0.0,22.0,13.5,0.0,0.0,0.0,0.0
40,"Unibic Cookies, Pista Badam",523.0,7.8,60.0,24.8,0.0,0.0,28.0,14.0,0.0,0.0,0.0,3.0
41,Unibic Sugar Free Cookies  Butter,509.0,7.4,65.4,25.2,0.0,0.0,24.2,15.4,0.0,0.0,0.0,15.0
42,Unibic Sugar Free Cookies  Butter,485.0,6.2,70.0,35.0,0.0,0.0,20.0,11.2,0.0,0.0,0.0,0.0
43,Britannia Nutri Choice Digestive,481.0,9.1,68.0,13.1,11.9,7.3,20.9,10.4,0.0,368.0,0.0,0.0
44,Cadbury Nutties Chocolate Pack,511.0,5.0,67.2,61.5,57.4,0.0,24.8,13.9,0.1,117.0,0.0,18.0
45,Kwality Wall's Magnum Almond Ice Cream,249.4,3.9,21.1,19.9,0.0,0.7,16.6,9.3,0.3,50.4,0.0,0.0
46,"Cadbury 5 Star Chocolate Home Treats Chocolates Bars
",444.0,3.1,72.9,60.5,57.1,0.0,15.9,10.1,0.1,170.0,0.0,4.0
47,Cadbury Bournville Rum & Raisin Dark Chocolate Bar,523.0,5.4,57.4,45.6,37.4,0.0,31.3,18.7,0.1,11.0,0.0,4.3
